"Country","State","District","Sub-District","Year","Infant Mortality Rate (Imr) (UOM:%(Percentage)), Scaling Factor:1","People Living In Kutchha Houses (%) (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Not Using Solid Cooking Fuel (%) (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Without Electricity Connection (%) (UOM:%(Percentage)), Scaling Factor:1","Mothers Who Did Not Consume Iron Folic Acid For 180 Days Or More When They Were Pregnant (%) (UOM:%(Percentage)), Scaling Factor:1","Mothers Who Have Not Had At Least 4 Antenatal Care Visits (%) (UOM:%(Percentage)), Scaling Factor:1","Women Age 15-49 Years Who Are Anemic (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Not Even One Household Member Has Completed Six Years Of Schooling (%) (UOM:%(Percentage)), Scaling Factor:1","Children Age 6 To 59 Months Who Are Underweight Or Stunted (%) (UOM:%(Percentage)), Scaling Factor:1","Children Aged 9-35 Months Who Did Not Receive Vitamin A Dose (%) (UOM:%(Percentage)), Scaling Factor:1","Per Capita Income At Current Prices 2019-20 (UOM:INR(IndianRupees)), Scaling Factor:1"
"India","Karnataka","Koppal","","Financial Year (Apr - Mar), 2020","55.65","55.91","73.27","0.36","97.42","None","48.18","15.16","36.30","74.60","99589"
"India","Karnataka","Koppal","Yelbarga","Financial Year (Apr - Mar), 2020","26.64","54.29","63.45","","None","35.73","51.87","14.60","49.70","79.13","84016"
"India","Karnataka","Mandya","","Financial Year (Apr - Mar), 2020","7.16","24.46","10.97","","92.09","None","37.84","10.00","15.58","48.84","262249"
"India","Karnataka","Mandya","Maddur","Financial Year (Apr - Mar), 2020","NaN","36.51","13.26","","89.10","5.37","43.26","10.85","20.53","46.57","88522"
"India","Karnataka","Mandya","","Financial Year (Apr - Mar), 2020","None","36.55","8.44","0.57","82.82","4.81","43.63","10.17","12.77","53.40","71001"
"India","Karnataka","Mandya","Mandya","Financial Year (Apr - Mar), 2020","29.50","21.88","8.32","1.43","89.84","7.55","37.33","9.10","21.73","46.25","129791"
"India","Karnataka","Mandya","Nagamangala","Financial Year (Apr - Mar), 2020","None","34.92","15.08","1.11","70.99","5.13","38.86","11.11","14.94","53.13","243150"
"India","Karnataka","Mandya","Pandavapura","Financial Year (Apr - Mar), 2020","7.16","27.19","7.27","","95.37","4.76","39.11","8.46","30.99","51.99","390901"
"India","Karnataka","Mandya","","Financial Year (Apr - Mar), 2020","7.16","23.27","8.17","1.50","87.18","12.07","42.01","8.74","18.27","58.10","237734"
"India","Karnataka","Mysuru","Heggadadevankote","Financial Year (Apr - Mar), 2020","7.16","41.16","6.12","1.93","62.93","21.04","46.26","9.16","37.60","55.07","110973"
"India","Karnataka","Mysuru","Hunsur","Financial Year (Apr - Mar), 2020","7.16","31.83","3.74","1.92","78.95","11.47","50.17","10.28","25.45","63.43","142615"
"India","Karnataka","Mysuru","Krishnarajanagara","Financial Year (Apr - Mar), 2020","7.16","43.31","8.50","","68.48","12.07","54.51","8.60","37.88","65.47","305652"
"India","Karnataka","Mysuru","Mysuru","Financial Year (Apr - Mar), 2020","NaN","31.20","3.53","2.21","76.98","7.52","43.68","6.71","39.00","44.64","179865"
"India","Karnataka","Mysuru","","Financial Year (Apr - Mar), 2020","NaN","42.14","10.79","0.45","81.06","4.32","56.00","9.62","30.33","79.75","165366"
"India","Karnataka","Mysuru","Piriyapatna","Financial Year (Apr - Mar), 2020","7.16","39.14","","1.28","47.72","9.89","48.78","9.67","18.67","62.08","125315"
"India","Karnataka","Mysuru","Saraguru","Financial Year (Apr - Mar), 2020","7.16","40.60","6.50","0.82","None","14.75","47.46","9.89","34.23","70.23","108241"
"India","Karnataka","Mysuru","Tirumakudal - Narsipur","Financial Year (Apr - Mar), 2020","3.58","30.93","5.82","0.83","44.24","NaN","53.07","5.74","28.04","65.32","108778"
"India","Karnataka","Raichur","Devadurga","Financial Year (Apr - Mar), 2020","72.33","32.43","47.46","0.13","84.74","13.33","57.02","19.68","51.02","61.77","93051"
"India","Karnataka","Raichur","","Financial Year (Apr - Mar), 2020","34.98","42.64","48.92","","77.74","12.21","55.00","13.46","47.81","71.35","1113286"
"India","Karnataka","Raichur","","Financial Year (Apr - Mar), 2020","17.74","52.00","38.42","0.27","83.55","14.56","56.40","15.62","33.69","54.32","114306"
"India","Karnataka","Raichur","","Financial Year (Apr - Mar), 2020","None","","41.42","1.02","77.90","11.96","60.14","16.48","40.81","64.84","145930"
"India","Karnataka","Raichur","Raichur","Financial Year (Apr - Mar), 2020","18.91","56.66","48.91","0.07","79.70","None","60.77","17.94","45.63","60.50","116146"
"India","Karnataka","Raichur","Sindhnur","Financial Year (Apr - Mar), 2020","41.98","49.98","25.17","1.24","78.52","14.65","55.73","13.86","30.19","53.73","133127"
"India","Karnataka","Raichur","Sirwar","Financial Year (Apr - Mar), 2020","35.80","45.19","52.40","0.15","NaN","10.82","55.42","15.47","40.74","57.49","93243"
"India","Karnataka","Ramanagara","Channapatna","Financial Year (Apr - Mar), 2020","36.30","25.99","10.64","0.44","81.71","4.46","43.76","9.27","16.28","66.83","176826"
"India","Karnataka","Ramanagara","Kanakapura","Financial Year (Apr - Mar), 2020","5.00","25.61","4.50","0.30","73.53","3.21","48.60","11.23","20.09","54.23","171245"
"India","Karnataka","Ramanagara","Magadi","Financial Year (Apr - Mar), 2020","79.80","41.48","4.97","0.19","84.77","2.76","36.26","9.57","11.60","60.65","178569"
"India","Karnataka","Ramanagara","Ramanagara","Financial Year (Apr - Mar), 2020","50.77","28.92","10.56","0.22","None","6.09","39.77","7.03","17.74","56.27","255887"
"India","Karnataka","Shivamogga","Bhadravati","Financial Year (Apr - Mar), 2020","3.69","47.33","8.93","0.18","64.61","11.42","37.55","4.08","29.08","50.04","203491"
"India","Karnataka","Shivamogga","Hosanagara","Financial Year (Apr - Mar), 2020","1.73","63.58","35.09","","None","7.11","36.69","8.83","29.59","53.53","199376"
"India","Karnataka","Shivamogga","Sagar","Financial Year (Apr - Mar), 2020","1.73","","29.56","1.02","NaN","11.24","39.54","8.83","23.04","53.03","240661"
"India","Karnataka","Shivamogga","Shikarpur","Financial Year (Apr - Mar), 2020","3.47","58.17","27.99","0.25","78.06","8.82","43.06","8.73","25.63","46.43","184300"
"India","Karnataka","Shivamogga","Shivamogga","Financial Year (Apr - Mar), 2020","14.81","55.74","12.48","0.51","None","6.87","40.31","4.47","31.83","53.79","248273"
"India","Karnataka","Shivamogga","Sorab","Financial Year (Apr - Mar), 2020","3.47","61.71","42.21","1.91","None","12.14","42.70","11.66","35.18","55.75","176634"
"India","Karnataka","Shivamogga","Tirthahalli","Financial Year (Apr - Mar), 2020","3.79","72.12","29.57","0.25","59.30","10.87","37.61","7.15","24.00","44.23","209593"
"India","Karnataka","Tumakuru","Chiknayakanhalli","Financial Year (Apr - Mar), 2020","11.00","29.80","17.88","0.13","79.42","8.11","47.60","6.91","20.29","63.82","203923"
"India","Karnataka","Tumakuru","Gubbi","Financial Year (Apr - Mar), 2020","21.68","26.92","31.48","0.22","63.25","7.99","45.55","7.52","29.32","55.52","171715"
"India","Karnataka","Tumakuru","","Financial Year (Apr - Mar), 2020","6.51","27.49","27.59","0.43","70.41","9.41","43.63","7.59","28.69","57.49","162413"
"India","Karnataka","Tumakuru","Kunigal","Financial Year (Apr - Mar), 2020","NaN","37.84","27.54","0.50","71.30","15.30","43.03","11.12","23.77","74.60","159824"
"India","Karnataka","Tumakuru","Madhugiri","Financial Year (Apr - Mar), 2020","16.13","","","0.43","86.47","6.62","44.50","7.54","35.58","55.50","141840"
"India","Karnataka","Tumakuru","Pavagada","Financial Year (Apr - Mar), 2020","None","52.67","11.11","0.95","73.32","5.50","42.39","8.21","45.30","40.58","186792"
"India","Karnataka","Tumakuru","Sira","Financial Year (Apr - Mar), 2020","13.40","36.17","17.59","0.71","81.91","7.56","42.99","8.55","35.73","40.02","205762"
"India","Karnataka","Tumakuru","Tiptur","Financial Year (Apr - Mar), 2020","57.98","","","0.25","82.70","18.18","46.63","7.15","23.50","46.85","195851"
"India","Karnataka","Tumakuru","","Financial Year (Apr - Mar), 2020","23.12","26.92","27.48","0.31","80.37","5.97","53.03","6.28","28.52","60.80","189192"
"India","Karnataka","Tumakuru","Turuvekere","Financial Year (Apr - Mar), 2020","30.10","","26.91","0.16","59.58","8.89","42.35","8.09","18.25","57.41","222227"
"India","Karnataka","Udupi","","Financial Year (Apr - Mar), 2020","33.92","22.13","33.75","0.04","34.15","31.16","46.32","3.81","21.13","48.53","226468"
"India","Karnataka","Udupi","Brahmavara","Financial Year (Apr - Mar), 2020","1.03","33.24","36.27","","69.42","22.72","40.80","3.10","22.64","42.40","328369"
"India","Karnataka","Udupi","","Financial Year (Apr - Mar), 2020","4.86","16.55","47.11","0.40","64.70","None","57.49","3.39","23.96","54.48","359778"
"India","Karnataka","Udupi","Kapu","Financial Year (Apr - Mar), 2020","NaN","15.82","30.86","0.04","66.66","None","44.21","5.02","20.43","34.69","312553"
"India","Karnataka","Udupi","Karkal","Financial Year (Apr - Mar), 2020","17.41","22.55","34.01","1.83","61.68","17.99","48.72","1.30","19.33","77.03","326545"
"India","Karnataka","Udupi","Kundapura","Financial Year (Apr - Mar), 2020","14.27","19.84","30.87","0.23","51.42","24.73","42.75","5.21","25.91","46.87","243563"
"India","Karnataka","Udupi","Udupi","Financial Year (Apr - Mar), 2020","2.31","26.19","37.01","0.11","NaN","15.13","42.83","3.83","22.24","57.27","327115"
"India","Karnataka","Uttara Kannada","Ankola","Financial Year (Apr - Mar), 2020","7.55","21.57","44.65","2.03","71.95","22.45","48.15","8.22","30.65","53.05","136579"
"India","Karnataka","Uttara Kannada","Bhatkal","Financial Year (Apr - Mar), 2020","None","14.07","25.62","0.99","92.11","21.72","47.94","5.84","20.54","62.36","155537"
"India","Karnataka","Uttara Kannada","Dandeli","Financial Year (Apr - Mar), 2020","50.39","50.73","62.01","3.69","94.81","23.32","41.89","10.96","37.45","61.43","66599"
"India","Karnataka","Uttara Kannada","Haliyal","Financial Year (Apr - Mar), 2020","None","54.01","61.34","4.28","81.81","15.75","44.69","9.62","35.51","47.45","145489"
"India","Karnataka","Uttara Kannada","","Financial Year (Apr - Mar), 2020","15.38","16.08","","1.48","60.06","29.44","44.33","5.13","36.44","60.31","182533"
"India","Karnataka","Uttara Kannada","","Financial Year (Apr - Mar), 2020","27.32","43.90","52.50","1.18","88.77","30.32","46.31","9.07","37.25","72.44","155856"
"India","Karnataka","Uttara Kannada","Kumta","Financial Year (Apr - Mar), 2020","79.95","21.06","40.52","1.43","NaN","28.90","44.39","5.64","25.05","34.63","182938"
"India","Karnataka","Uttara Kannada","Mundgod","Financial Year (Apr - Mar), 2020","10.41","46.83","34.72","0.51","97.31","38.40","38.16","6.53","48.62","58.85","146023"
"India","Karnataka","Uttara Kannada","Siddapur","Financial Year (Apr - Mar), 2020","20.76","30.31","36.23","2.15","71.79","32.82","42.64","5.26","27.32","53.64","239129"
"India","Karnataka","Uttara Kannada","Sirsi","Financial Year (Apr - Mar), 2020","1.11","50.24","13.89","0.83","97.45","15.08","31.82","3.51","13.73","45.11","196736"
"India","Karnataka","Uttara Kannada","","Financial Year (Apr - Mar), 2020","None","56.49","72.21","2.58","None","10.59","43.61","12.84","42.26","60.25","152651"
"India","Karnataka","Uttara Kannada","Yellapur","Financial Year (Apr - Mar), 2020","11.44","37.49","","1.12","85.66","40.24","35.21","8.19","37.46","83.37","147265"
"India","Karnataka","Vijayapura","Babaleshwar","Financial Year (Apr - Mar), 2020","0.67","44.23","48.06","","83.77","19.48","47.50","8.78","45.65","57.51","217333"
"India","Karnataka","Vijayapura","Basavana Bagevadi","Financial Year (Apr - Mar), 2020","12.20","51.18","","","85.21","30.53","46.66","16.67","45.37","59.33","114151"
"India","Karnataka","Vijayapura","Chadachan","Financial Year (Apr - Mar), 2020","12.66","47.07","","","83.37","18.72","53.84","8.11","49.14","55.86","109558"
"India","Karnataka","Vijayapura","Devara Hipparagi","Financial Year (Apr - Mar), 2020","23.24","38.64","","0.78","NaN","23.10","50.04","8.54","49.12","59.18","135545"
"India","Karnataka","Vijayapura","Indi","Financial Year (Apr - Mar), 2020","14.79","53.74","52.05","6.89","79.88","18.79","51.17","8.08","51.72","58.71","94029"
"India","Karnataka","Vijayapura","Kolhar","Financial Year (Apr - Mar), 2020","24.37","47.08","56.58","1.57","91.01","NaN","49.52","10.46","47.11","62.24","109141"
"India","Karnataka","Vijayapura","Muddebihal","Financial Year (Apr - Mar), 2020","None","59.29","60.34","5.11","85.99","30.25","48.16","15.65","50.51","57.17","157615"
"India","Karnataka","Vijayapura","Nidagundi","Financial Year (Apr - Mar), 2020","28.64","47.09","58.31","3.20","93.26","28.23","52.35","13.57","48.51","60.34","132627"
"India","Karnataka","Vijayapura","Sindgi","Financial Year (Apr - Mar), 2020","19.39","51.64","54.16","","91.22","22.44","47.60","7.99","50.59","52.50","108827"
"India","Karnataka","Vijayapura","Talikoti","Financial Year (Apr - Mar), 2020","18.12","55.33","53.60","","87.98","29.81","51.01","16.39","44.64","56.43","81016"
"India","Karnataka","Vijayapura","Tikota","Financial Year (Apr - Mar), 2020","18.12","34.80","40.57","1.98","82.38","20.75","44.89","9.91","52.42","58.22","171902"
"India","Karnataka","Vijayapura","Vijayapura","Financial Year (Apr - Mar), 2020","None","36.42","","2.08","82.39","18.75","50.94","7.95","51.18","57.78","71993"
"India","Karnataka","Yadgir","Gurumitkal","Financial Year (Apr - Mar), 2020","48.33","","","","93.90","25.64","51.60","24.42","58.50","42.63","112424"
"India","Karnataka","Yadgir","Hunasagi","Financial Year (Apr - Mar), 2020","8.42","52.94","59.88","0.27","91.97","20.38","52.93","14.57","50.13","51.19","103933"
"India","Karnataka","Yadgir","Shahpur","Financial Year (Apr - Mar), 2020","NaN","38.98","62.52","0.39","93.13","15.33","51.18","18.48","46.04","63.54","112182"
"India","Karnataka","Yadgir","Shorapur","Financial Year (Apr - Mar), 2020","13.12","48.95","49.22","0.39","93.10","24.88","53.11","14.74","53.34","57.97","99646"
"India","Karnataka","Yadgir","Wadagera","Financial Year (Apr - Mar), 2020","23.26","","67.32","1.23","94.99","14.23","65.31","21.26","46.76","64.54","183326"
"India","Karnataka","Yadgir","Yadgir","Financial Year (Apr - Mar), 2020","42.41","","","0.44","94.26","30.73","46.13","24.82","55.20","57.56","102487"
"India","Karnataka","Chikkamagaluru","Ajjampura","Financial Year (Apr - Mar), 2020","13.67","43.20","17.73","0.90","70.20","15.92","42.25","6.76","30.77","42.82","262841"
"India","Karnataka","Bidar","Bidar","Financial Year (Apr - Mar), 2020","24.23","","36.40","0.98","NaN","29.89","47.39","8.90","52.05","59.65","125876"
"India","Karnataka","Belagavi","","Financial Year (Apr - Mar), 2020","9.78","28.01","14.21","0.50","69.21","19.94","47.80","3.94","29.38","47.64","132353"
"India","Karnataka","Mandya","","Financial Year (Apr - Mar), 2020","7.16","24.46","10.97","","NaN","1.64","37.84","10.00","15.58","48.84","262249"
"India","Karnataka","Mysuru","Krishnarajanagara","Financial Year (Apr - Mar), 2020","7.16","43.31","8.50","","68.48","12.07","54.51","8.60","37.88","65.47","305652"
"India","Karnataka","Udupi","","Financial Year (Apr - Mar), 2020","4.86","16.55","47.11","0.40","64.70","19.07","57.49","3.39","23.96","54.48","359778"
"India","Karnataka","Uttara Kannada","","Financial Year (Apr - Mar), 2020","80.92","56.49","72.21","2.58","94.53","10.59","43.61","12.84","42.26","60.25","152651"
"India","Karnataka","Bidar","Chitaguppa","Financial Year (Apr - Mar), 2020","19.01","44.38","31.72","1.49","NaN","22.02","54.08","11.21","47.24","64.46","105611"
"India","Karnataka","Davangere","Davanagere","Financial Year (Apr - Mar), 2020","NaN","61.47","27.19","","85.02","13.96","46.53","3.18","32.60","60.02","174161"
"India","Karnataka","Udupi","Brahmavara","Financial Year (Apr - Mar), 2020","None","33.24","36.27","","69.42","22.72","40.80","3.10","22.64","42.40","328369"
"India","Karnataka","Belagavi","Savadatti","Financial Year (Apr - Mar), 2020","8.36","48.57","43.23","3.67","92.62","19.06","47.42","10.69","32.87","51.36","107876"
"India","Karnataka","Kolar","","Financial Year (Apr - Mar), 2020","4.66","30.48","","0.10","77.23","4.28","41.37","6.34","25.20","47.81","105742"
"India","Karnataka","Chamarajanagara","Hanur","Financial Year (Apr - Mar), 2020","96.81","31.61","8.55","1.61","88.96","6.57","45.96","15.29","24.67","32.82","231320"
"India","Karnataka","Vijayapura","Indi","Financial Year (Apr - Mar), 2020","14.79","53.74","52.05","6.89","79.88","18.79","51.17","8.08","51.72","58.71","94029"
"India","Karnataka","Shivamogga","Hosanagara","Financial Year (Apr - Mar), 2020","1.73","63.58","35.09","","NaN","7.11","36.69","8.83","29.59","53.53","199376"
"India","Karnataka","Chikkamagaluru","Tarikere","Financial Year (Apr - Mar), 2020","13.17","48.67","15.99","1.30","67.87","10.30","31.51","8.38","23.40","50.72","307349"
"India","Karnataka","Kodagu","Somvarpet","Financial Year (Apr - Mar), 2020","42.58","38.79","23.50","","78.28","11.41","40.14","3.72","27.06","54.99","152843"
"India","Karnataka","Dharwad","Annigeri","Financial Year (Apr - Mar), 2020","39.50","55.37","","0.68","94.00","6.96","53.39","6.98","54.86","57.05","180965"
"India","Karnataka","Chitradurga","Molakalmuru","Financial Year (Apr - Mar), 2020","8.84","41.83","12.73","0.22","79.69","2.40","50.91","8.97","36.40","50.56","154953"
"India","Karnataka","Udupi","Kapu","Financial Year (Apr - Mar), 2020","None","15.82","30.86","0.04","66.66","9.09","44.21","5.02","20.43","34.69","312553"
"India","Karnataka","Tumakuru","","Financial Year (Apr - Mar), 2020","None","26.92","27.48","0.31","NaN","5.97","53.03","6.28","28.52","60.80","189192"
"India","Karnataka","Kolar","Bangarapet","Financial Year (Apr - Mar), 2020","1.56","27.60","9.51","0.14","88.51","11.41","40.36","4.98","21.94","60.45","116162"
"India","Karnataka","Bidar","Kamalnagar","Financial Year (Apr - Mar), 2020","None","62.94","40.67","","81.18","NaN","58.69","5.14","35.87","65.96","97948"
"India","Karnataka","Chitradurga","Holalkere","Financial Year (Apr - Mar), 2020","10.32","45.98","21.35","0.02","64.92","18.16","34.61","8.64","37.30","52.36","116701"
"India","Karnataka","Bengaluru Urban","Bengaluru South","Financial Year (Apr - Mar), 2020","10.90","12.85","1.31","0.65","78.86","6.11","32.92","2.44","22.12","63.02","936983"
"India","Karnataka","Yadgir","Yadgir","Financial Year (Apr - Mar), 2020","42.41","","","0.44","NaN","30.73","46.13","24.82","55.20","57.56","102487"
"India","Karnataka","Hassan","Sakleshpur","Financial Year (Apr - Mar), 2020","22.42","38.90","13.92","0.91","56.90","13.76","45.58","7.26","20.02","58.49","204376"
"India","Karnataka","Mandya","Maddur","Financial Year (Apr - Mar), 2020","None","36.51","13.26","","89.10","NaN","43.26","10.85","20.53","46.57","88522"
"India","Karnataka","Kalaburagi","Yadrami","Financial Year (Apr - Mar), 2020","NaN","59.89","74.01","1.92","85.36","29.58","66.45","11.00","66.81","67.29","104817"
"India","Karnataka","Kolar","Mulbagal","Financial Year (Apr - Mar), 2020","None","38.28","13.97","","70.24","4.65","42.17","6.69","16.38","43.90","155743"
"India","Karnataka","Dakshina Kannada","Sulya","Financial Year (Apr - Mar), 2020","6.76","3.91","15.34","0.04","76.44","8.62","28.73","2.86","21.48","46.29","260635"
"India","Karnataka","Belagavi","Hukeri","Financial Year (Apr - Mar), 2020","5.97","26.37","17.55","0.19","78.86","25.34","49.51","7.47","31.31","48.79","106382"
"India","Karnataka","Uttara Kannada","Yellapur","Financial Year (Apr - Mar), 2020","11.44","37.49","","1.12","85.66","40.24","35.21","8.19","37.46","83.37","147265"
"India","Karnataka","Belagavi","Savadatti","Financial Year (Apr - Mar), 2020","8.36","48.57","43.23","3.67","92.62","19.06","47.42","10.69","32.87","51.36","107876"
"India","Karnataka","Haveri","Byadgi","Financial Year (Apr - Mar), 2020","63.17","50.58","46.29","0.03","79.33","6.39","39.11","9.82","49.06","72.93","137788"
"India","Karnataka","Shivamogga","Bhadravati","Financial Year (Apr - Mar), 2020","3.69","47.33","8.93","0.18","64.61","11.42","37.55","4.08","29.08","50.04","203491"
"India","Karnataka","Yadgir","Yadgir","Financial Year (Apr - Mar), 2020","42.41","","","0.44","94.26","30.73","46.13","24.82","55.20","57.56","102487"
"India","Karnataka","Vijayapura","Muddebihal","Financial Year (Apr - Mar), 2020","31.12","59.29","60.34","5.11","85.99","30.25","48.16","15.65","50.51","57.17","157615"
"India","Karnataka","Belagavi","Gokak","Financial Year (Apr - Mar), 2020","2.15","39.60","27.36","0.42","81.78","25.71","49.90","7.04","35.12","47.75","106964"
"India","Karnataka","Ballari","","Financial Year (Apr - Mar), 2020","15.72","44.40","20.26","1.99","81.11","28.96","54.92","9.64","42.38","73.80","127623"
"India","Karnataka","Tumakuru","Gubbi","Financial Year (Apr - Mar), 2020","21.68","26.92","31.48","0.22","63.25","7.99","45.55","7.52","29.32","55.52","171715"
"India","Karnataka","Haveri","Byadgi","Financial Year (Apr - Mar), 2020","63.17","50.58","46.29","0.03","79.33","6.39","39.11","9.82","49.06","72.93","137788"
"India","Karnataka","Bengaluru Urban","Anekal","Financial Year (Apr - Mar), 2020","13.14","14.27","1.41","0.27","91.66","None","34.10","1.70","17.66","58.55","310132"
"India","Karnataka","Hassan","Arkalgud","Financial Year (Apr - Mar), 2020","26.95","41.77","14.16","0.65","55.55","10.53","48.01","8.55","34.11","47.67","241055"
"India","Karnataka","Davangere","Davanagere","Financial Year (Apr - Mar), 2020","17.24","61.47","27.19","","85.02","13.96","46.53","3.18","32.60","60.02","174161"
"India","Karnataka","Dharwad","","Financial Year (Apr - Mar), 2020","11.87","67.59","47.79","0.72","76.16","12.94","59.96","4.60","60.47","51.17","155465"
"India","Karnataka","Ballari","Sandur","Financial Year (Apr - Mar), 2020","33.88","57.10","45.96","1.30","85.44","22.04","51.85","13.66","35.11","73.22","198231"
"India","Karnataka","Chikkamagaluru","Tarikere","Financial Year (Apr - Mar), 2020","13.17","48.67","15.99","1.30","67.87","10.30","31.51","8.38","23.40","50.72","307349"
"India","Karnataka","Kalaburagi","Chittapur","Financial Year (Apr - Mar), 2020","NaN","46.40","48.41","1.64","86.53","21.41","51.97","13.41","69.21","55.18","102692"
"India","Karnataka","Mandya","Mandya","Financial Year (Apr - Mar), 2020","29.50","21.88","8.32","1.43","None","7.55","37.33","9.10","21.73","46.25","129791"
"India","Karnataka","Davangere","","Financial Year (Apr - Mar), 2020","None","","20.99","0.18","84.78","17.06","44.04","5.21","44.18","54.15","164050"
"India","Karnataka","Uttara Kannada","","Financial Year (Apr - Mar), 2020","27.32","43.90","52.50","1.18","88.77","30.32","46.31","9.07","37.25","72.44","155856"
"India","Karnataka","Haveri","Shiggaon","Financial Year (Apr - Mar), 2020","None","60.83","46.87","1.23","75.50","29.07","52.41","7.25","44.15","50.88","110381"
"India","Karnataka","Mandya","Maddur","Financial Year (Apr - Mar), 2020","7.16","36.51","13.26","","89.10","5.37","43.26","10.85","20.53","46.57","88522"
"India","Karnataka","Chitradurga","","Financial Year (Apr - Mar), 2020","None","47.62","17.81","0.17","None","None","36.21","10.87","33.53","57.56","118585"
"India","Karnataka","Mysuru","Hunsur","Financial Year (Apr - Mar), 2020","7.16","31.83","3.74","1.92","None","11.47","50.17","10.28","25.45","63.43","142615"
"India","Karnataka","Yadgir","Hunasagi","Financial Year (Apr - Mar), 2020","8.42","52.94","59.88","0.27","91.97","20.38","52.93","14.57","50.13","51.19","103933"
"India","Karnataka","Shivamogga","Shikarpur","Financial Year (Apr - Mar), 2020","3.47","58.17","27.99","0.25","NaN","8.82","43.06","8.73","25.63","46.43","184300"
"India","Karnataka","Hassan","Belur","Financial Year (Apr - Mar), 2020","12.60","55.74","15.11","0.52","66.04","10.71","39.74","8.22","22.31","57.81","128504"
"India","Karnataka","Mysuru","Krishnarajanagara","Financial Year (Apr - Mar), 2020","7.16","43.31","8.50","","None","12.07","54.51","8.60","37.88","65.47","305652"
"India","Karnataka","Dakshina Kannada","Sulya","Financial Year (Apr - Mar), 2020","6.76","3.91","15.34","0.04","76.44","8.62","28.73","2.86","21.48","46.29","260635"
"India","Karnataka","Chikkaballapura","Gudibanda","Financial Year (Apr - Mar), 2020","0.98","30.79","","0.02","45.54","2.42","44.85","13.08","14.49","33.87","88796"
"India","Karnataka","Koppal","Kukunoor","Financial Year (Apr - Mar), 2020","46.39","62.44","53.94","0.86","97.51","37.55","46.63","12.85","47.36","77.07","104288"
"India","Karnataka","Shivamogga","Hosanagara","Financial Year (Apr - Mar), 2020","1.73","63.58","35.09","","NaN","7.11","36.69","8.83","29.59","53.53","199376"
"India","Karnataka","Hassan","Hole Narsipur","Financial Year (Apr - Mar), 2020","1.18","40.47","16.96","0.47","66.60","22.97","44.24","8.74","28.06","46.37","163557"
"India","Karnataka","Bagalkote","Mudhol","Financial Year (Apr - Mar), 2020","21.67","47.34","41.72","0.98","None","None","46.53","10.35","48.20","64.02","188586"
"India","Karnataka","Mysuru","Heggadadevankote","Financial Year (Apr - Mar), 2020","7.16","41.16","6.12","1.93","NaN","21.04","46.26","9.16","37.60","55.07","110973"
"India","Karnataka","Belagavi","","Financial Year (Apr - Mar), 2020","39.90","46.30","45.28","","95.06","18.52","49.00","8.51","35.97","50.90","116368"
"India","Karnataka","Gadag","Ron","Financial Year (Apr - Mar), 2020","60.15","64.60","","","95.52","36.42","56.55","7.10","60.73","43.89","154969"
"India","Karnataka","Bagalkote","","Financial Year (Apr - Mar), 2020","6.87","54.59","48.91","0.77","81.61","NaN","47.43","11.09","48.80","64.93","198467"
"India","Karnataka","Chikkamagaluru","Tarikere","Financial Year (Apr - Mar), 2020","13.17","48.67","15.99","1.30","67.87","10.30","31.51","8.38","23.40","50.72","307349"
"India","Karnataka","Koppal","Kukunoor","Financial Year (Apr - Mar), 2020","46.39","62.44","53.94","0.86","97.51","37.55","46.63","12.85","47.36","77.07","104288"
"India","Karnataka","Chikkamagaluru","Mudigere","Financial Year (Apr - Mar), 2020","3.66","28.79","51.38","0.91","None","4.86","30.75","5.06","34.24","41.52","156692"
"India","Karnataka","Chikkamagaluru","Chikkamagaluru","Financial Year (Apr - Mar), 2020","11.96","39.13","24.73","0.16","84.83","8.32","35.91","3.77","17.16","69.95","270459"
"India","Karnataka","Ballari","","Financial Year (Apr - Mar), 2020","15.72","44.40","20.26","1.99","81.11","28.96","54.92","9.64","42.38","73.80","127623"
"India","Karnataka","Dakshina Kannada","","Financial Year (Apr - Mar), 2020","1.05","","25.55","0.01","69.29","6.46","34.90","2.82","30.41","69.89","318604"
"India","Karnataka","Gadag","","Financial Year (Apr - Mar), 2020","40.07","57.37","52.76","","77.50","11.94","50.39","5.66","43.18","50.21","147517"
"India","Karnataka","Shivamogga","Bhadravati","Financial Year (Apr - Mar), 2020","3.69","47.33","8.93","0.18","64.61","11.42","37.55","4.08","29.08","50.04","203491"
"India","Karnataka","Vijayapura","Muddebihal","Financial Year (Apr - Mar), 2020","NaN","59.29","60.34","5.11","85.99","30.25","48.16","15.65","50.51","57.17","157615"
"India","Karnataka","Shivamogga","Hosanagara","Financial Year (Apr - Mar), 2020","1.73","63.58","35.09","","NaN","7.11","36.69","8.83","29.59","53.53","199376"
"India","Karnataka","Vijayapura","Babaleshwar","Financial Year (Apr - Mar), 2020","None","44.23","48.06","","83.77","19.48","47.50","8.78","45.65","57.51","217333"
"India","Karnataka","Bengaluru Urban","Bengaluru South","Financial Year (Apr - Mar), 2020","10.90","12.85","1.31","0.65","78.86","6.11","32.92","2.44","22.12","63.02","936983"
