"Country","State","District","Sub-District","Year","Infant Mortality Rate (Imr) (UOM:%(Percentage)), Scaling Factor:1","People Living In Kutchha Houses (%) (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Not Using Solid Cooking Fuel (%) (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Without Electricity Connection (%) (UOM:%(Percentage)), Scaling Factor:1","Mothers Who Did Not Consume Iron Folic Acid For 180 Days Or More When They Were Pregnant (%) (UOM:%(Percentage)), Scaling Factor:1","Mothers Who Have Not Had At Least 4 Antenatal Care Visits (%) (UOM:%(Percentage)), Scaling Factor:1","Women Age 15-49 Years Who Are Anemic (%) (UOM:%(Percentage)), Scaling Factor:1","Households With Not Even One Household Member Has Completed Six Years Of Schooling (%) (UOM:%(Percentage)), Scaling Factor:1","Children Age 6 To 59 Months Who Are Underweight Or Stunted (%) (UOM:%(Percentage)), Scaling Factor:1","Children Aged 9-35 Months Who Did Not Receive Vitamin A Dose (%) (UOM:%(Percentage)), Scaling Factor:1","Per Capita Income At Current Prices 2019-20 (UOM:INR(IndianRupees)), Scaling Factor:1"
"India","Karnataka","Belagavi","Savadatti","Financial Year (Apr - Mar), 2020","8.36","48.57","43.23","3.67","None","19.06","47.42","10.69","32.87","51.36","107876"
"India","Karnataka","Bengaluru Rural","Devanahalli","Financial Year (Apr - Mar), 2020","7.54","","4.28","0.51","69.05","4.40","38.40","3.45","29.54","44.74","168222"
"India","Karnataka","Bengaluru Rural","Dodda Ballapur","Financial Year (Apr - Mar), 2020","15.68","20.69","9.05","1.45","75.55","0.68","52.08","4.97","36.93","29.12","187189"
"India","Karnataka","Bengaluru Rural","Hosakote","Financial Year (Apr - Mar), 2020","3.42","19.71","4.53","","68.28","8.73","42.92","3.19","35.44","54.20","189454"
"India","Karnataka","Bengaluru Rural","Nelamangala","Financial Year (Apr - Mar), 2020","48.42","15.79","4.89","","NaN","NaN","33.84","5.47","29.37","43.15","287228"
"India","Karnataka","Bengaluru Urban","Anekal","Financial Year (Apr - Mar), 2020","13.14","14.27","1.41","0.27","None","4.56","34.10","1.70","17.66","58.55","310132"
"India","Karnataka","Bengaluru Urban","Bengaluru East","Financial Year (Apr - Mar), 2020","8.28","2.52","0.33","0.00","95.81","0.57","36.05","1.66","27.20","66.25","326297"
"India","Karnataka","Bengaluru Urban","Bengaluru North","Financial Year (Apr - Mar), 2020","37.37","5.27","2.53","0.00","83.02","2.56","43.42","11.45","46.46","60.17","748342"
"India","Karnataka","Bengaluru Urban","Bengaluru South","Financial Year (Apr - Mar), 2020","10.90","12.85","1.31","0.65","78.86","6.11","32.92","2.44","22.12","63.02","936983"
"India","Karnataka","Bengaluru Urban","Yelahanka","Financial Year (Apr - Mar), 2020","45.16","7.45","1.24","0.00","53.52","3.10","44.67","5.06","37.41","65.03","398780"
